year,cantidad,cx,cy,radius
2007,1,300.06,211.95,1.95
2007,1,309.95,192.55,2.13
2007,1,323.45,304.05,3.78
2007,1,311.69,233.36,2.70
2007,1,313.51,282.22,3.16
2007,1,317.83,220.12,2.56
2007,1,313.39,254.13,2.89
2007,1,335.64,292.42,2.59
2007,1,307.22,270.01,0.40
2007,1,318.41,206.68,2.04
2007,1,303.09,172.05,2.56
2007,1,337.45,307.78,3.00
2007,1,333.36,211.33,2.59
2007,1,328.00,281.80,2.59
2007,1,306.14,156.68,3.60
2007,1,234.67,126.67,0.44
2007,1,322.68,265.91,2.77
2007,1,319.59,316.81,2.84
2007,1,320.13,171.71,3.83
2007,1,352.78,287.16,2.38
2007,1,336.66,322.38,3.64
2007,1,326.22,186.20,2.47
2007,1,335.02,225.99,1.62
2007,1,340.09,261.64,2.27
2007,1,354.52,324.67,3.07
2007,1,349.78,302.02,2.45
2007,1,329.21,153.93,4.12
2007,1,334.25,173.85,2.66
2007,1,346.89,206.16,2.40
2007,1,326.25,244.54,2.66
2007,1,367.12,215.42,2.15
2007,1,316.69,146.05,4.51
2007,1,353.89,265.01,2.31
2007,1,342.61,152.97,3.44
2007,1,323.23,331.00,2.98
2007,1,323.29,121.05,5.04
2007,1,352.76,188.12,3.39
2007,1,348.43,337.14,3.64
2007,1,365.07,282.52,2.61
2007,1,334.94,135.31,5.04
2007,1,373.55,199.31,3.34
2007,1,352.59,142.19,3.83
2007,1,358.47,175.59,3.92
2007,1,343.78,240.70,1.92
2007,1,342.49,276.58,2.59
2007,1,361.33,162.75,3.32
2007,1,335.41,336.49,4.03
2007,1,348.27,226.43,2.52
2007,1,332.28,198.10,2.68
2007,1,370.46,270.64,2.70
2007,1,344.75,165.95,3.21
2007,1,369.44,310.84,2.56
2007,1,379.13,289.58,2.43
2007,1,382.66,218.16,2.47
2007,1,373.65,181.30,3.55
2007,1,391.25,311.27,3.51
2007,1,364.08,340.83,3.21
2007,1,400.06,282.53,3.39
2007,1,394.72,192.12,3.30
2007,1,393.43,230.33,1.76
2007,1,334.54,373.85,3.51
2007,1,353.29,126.84,3.55
2007,1,407.34,231.54,2.56
2007,1,369.36,248.18,2.56
2007,1,355.81,249.95,2.63
2007,1,396.03,208.98,3.00
2007,1,307.01,93.75,0.28
2007,1,385.16,268.48,2.43
2007,1,380.87,303.44,2.47
2007,1,341.87,351.64,4.33
2007,1,352.93,371.66,3.25
2008,1,364.58,296.14,1.99
2008,1,368.08,233.89,2.50
2008,1,377.67,331.94,2.70
2008,1,377.48,159.37,2.98
2008,1,389.16,324.40,4.26
2008,1,344.46,395.44,2.47
2008,1,420.94,287.26,4.86
2008,1,369.43,138.96,2.08
2008,1,393.02,347.10,4.65
2008,1,385.39,245.46,2.75
2008,1,410.12,269.09,3.69
2008,1,373.42,125.56,2.66
2008,1,374.37,349.14,3.14
2008,1,401.51,302.31,3.80
2008,1,407.33,361.24,4.56
2008,1,362.40,357.23,2.45
2008,1,398.42,334.65,4.72
2008,1,400.09,167.15,1.72
2008,1,433.66,297.37,4.17
2008,1,340.93,121.67,2.77
2008,1,412.55,215.89,2.70
2008,1,343.83,108.04,2.05
2008,1,386.48,144.30,2.47
2008,1,393.16,178.33,3.12
2008,1,366.08,104.04,2.43
2008,1,402.22,249.41,3.00
2008,1,434.54,274.03,4.65
2008,1,413.16,166.71,1.14
2008,1,412.31,199.38,3.18
2008,1,401.28,151.95,2.11
2008,1,409.52,323.81,4.49
2008,1,333.65,387.26,3.14
2008,1,345.71,422.28,2.13
2008,1,337.81,90.38,0.81
2008,1,395.25,131.74,2.75
2008,1,359.17,414.24,5.20
2008,1,422.46,313.29,4.40
2008,1,427.79,212.15,2.86
2008,1,361.36,382.31,3.07
2008,1,444.61,254.99,4.88
2008,1,380.42,384.19,3.99
2008,1,414.65,181.06,2.56
2008,1,409.59,134.19,2.50
2008,1,432.77,232.83,2.04
2008,1,379.13,364.11,3.94
2008,1,386.16,120.03,2.86
2008,1,415.74,253.51,3.80
2008,1,419.54,239.77,3.23
2008,1,347.95,446.03,2.20
2008,1,359.85,399.65,5.39
2008,1,358.24,436.75,3.34
2008,1,415.61,149.39,2.61
2008,1,425.95,133.54,2.24
2008,1,399.52,110.92,3.18
2008,1,341.71,508.69,0.39
2008,1,375.67,404.66,4.33
2008,1,394.86,369.56,4.06
2008,1,383.55,418.42,4.08
2008,1,378.32,108.55,3.18
2008,1,334.81,451.76,3.72
2008,1,345.55,463.61,2.89
2008,1,448.29,285.86,3.12
2008,1,445.11,304.46,3.80
2008,1,414.41,342.45,4.93
2008,1,339.78,186.87,2.77
2008,1,397.85,264.51,2.36
2008,1,394.13,400.39,4.31
2008,1,359.45,470.80,2.13
2008,1,435.86,328.82,2.31
2008,1,429.00,187.16,2.98
2008,1,336.95,436.79,2.84
2009,1,438.86,170.88,2.50
2009,1,377.23,88.44,3.83
2009,1,392.07,97.20,3.05
2009,1,431.64,256.12,4.65
2009,1,379.47,431.06,3.60
2009,1,346.42,409.18,2.40
2009,1,458.43,306.56,3.21
2009,1,363.38,491.89,1.88
2009,1,457.85,330.04,3.14
2009,1,372.59,453.79,2.17
2009,1,420.80,226.59,2.40
2009,1,424.32,360.46,4.68
2009,1,402.49,389.77,4.56
2009,1,445.35,201.79,3.16
2009,1,462.80,290.80,4.06
2009,1,411.11,379.51,4.70
2009,1,445.82,231.09,1.85
2009,1,393.74,434.90,4.29
2009,1,442.63,216.55,2.89
2009,1,414.72,118.63,2.47
2009,1,429.01,340.02,5.02
2009,1,465.33,219.80,1.51
2009,1,460.75,198.65,3.02
2009,1,415.00,399.60,4.79
2009,1,415.44,104.10,2.52
2009,1,430.71,104.42,2.98
2009,1,480.64,321.02,0.68
2009,1,438.41,352.78,4.93
2009,1,449.20,179.92,2.75
2009,1,403.52,90.49,2.50
2009,1,478.13,194.81,2.45
2009,1,437.04,124.02,2.86
2009,1,455.42,262.70,4.95
2009,1,409.21,412.42,4.49
2009,1,402.26,64.69,2.15
2009,1,469.13,262.54,4.86
2009,1,454.13,346.28,3.80
2009,1,397.72,76.91,3.62
2009,1,404.91,425.58,4.15
2009,1,478.75,305.72,2.54
2009,1,463.59,358.32,3.30
2009,1,423.14,267.40,4.47
2009,1,472.10,278.77,3.00
2009,1,417.27,89.09,2.61
2009,1,359.20,200.76,2.68
2009,1,468.29,315.58,2.47
2009,1,428.58,373.34,4.65
2009,1,428.14,159.95,3.07
2009,1,430.71,74.26,2.36
2009,1,441.43,379.86,4.84
2009,1,416.71,63.24,2.43
2009,1,429.74,60.46,2.95
2009,1,460.85,232.18,2.29
2009,1,391.22,453.64,4.33
2009,1,448.18,146.48,1.78
2009,1,478.72,343.42,3.14
2009,1,496.78,340.28,2.17
2009,1,463.17,246.04,4.33
2009,1,490.64,312.14,1.42
2009,1,415.45,47.65,2.52
2009,1,461.73,386.85,4.38
2009,1,456.93,159.31,3.64
2009,1,448.55,114.13,3.30
2009,1,473.36,147.15,2.75
2009,1,466.72,168.97,2.95
2009,1,412.46,443.50,4.31
2009,1,406.29,459.29,4.61
2009,1,447.99,364.95,4.38
2010,1,373.85,468.60,1.97
2010,1,443.72,59.63,3.87
2010,1,436.87,40.42,2.56
2010,1,432.37,145.80,2.31
2010,1,397.07,472.93,4.40
2010,1,474.06,208.24,2.31
2010,1,383.88,479.32,3.37
2010,1,422.83,420.18,4.38
2010,1,457.91,130.39,1.53
2010,1,487.31,231.48,3.55
2010,1,463.48,184.27,2.75
2010,1,472.05,331.64,2.11
2010,1,480.47,244.10,4.81
2010,1,480.48,373.17,4.47
2010,1,457.76,49.14,3.55
2010,1,489.29,274.33,4.51
2010,1,449.90,73.68,3.90
2010,1,493.18,289.64,1.56
2010,1,479.09,130.33,3.51
2010,1,501.24,301.09,1.51
2010,1,515.01,313.85,2.82
2010,1,509.47,288.97,2.22
2010,1,501.52,267.37,4.56
2010,1,485.37,258.89,4.58
2010,1,437.06,86.84,2.52
2010,1,454.15,87.44,2.84
2010,1,502.02,250.88,4.63
2010,1,448.45,22.27,2.70
2010,1,523.48,265.69,4.47
2010,1,474.77,76.11,3.73
2010,1,469.33,56.11,2.40
2010,1,384.95,73.64,2.77
2010,1,368.56,512.88,1.05
2010,1,482.62,219.25,2.73
